cd /home/wu.qife/CLIP/Experiments
CUDA_VISIBLE_DEVICES=0 python distill_train.py -a 0.1 -t 30 -e 160 --teacher ViT-L/14 --mi 60 90 120 150 --project_name vitl14_5

[141411 41931 2022/05/16-14:14:11] Warning! Git not found under this project. Highly recommended to use Git to manage code.
('alpha': 0.1) ('batch_size': 256) ('cache_ignore': ) ('CodeID': GitNotFound) ('debug': False) ('distill_temp': 30) ('epoch': 160) ('experiments_dir': None) ('lr': 0.1) ('mi': [60, 90, 120, 150]) ('momentum': 0.9) ('note': ) ('path': None) ('project_name': vitl14_5) ('screen_print': False) ('tnet': ViT-L/14) ('weight_decay': 0.0005) 

[141411 41931 2022/05/16-14:14:11] ==> Caching various config files to 'Experiments/vitl14_5_SERVER-20220516-141411/.caches'
[141411 41931 2022/05/16-14:14:11] ==> Caching done (time: 0.01s)
[141411 41931 2022/05/16-14:14:20] Files already downloaded and verified
[141411 41931 2022/05/16-14:14:21] Files already downloaded and verified
[141411 41931 2022/05/16-14:14:22] Epoch	Loss	Accuracy
[141411 41931 2022/05/16-19:47:57] 120	0.45257	0.74546
[141411 41931 2022/05/16-19:50:41] 121	0.45154	0.74500
[141411 41931 2022/05/16-19:53:26] 122	0.45148	0.74488
[141411 41931 2022/05/16-19:56:09] 123	0.45203	0.74482
[141411 41931 2022/05/16-19:58:53] 124	0.45112	0.74714
[141411 41931 2022/05/16-20:01:36] 125	0.45196	0.74412
[141411 41931 2022/05/16-20:04:21] 126	0.44999	0.74676
[141411 41931 2022/05/16-20:07:05] 127	0.45185	0.74684
[141411 41931 2022/05/16-20:09:51] 128	0.45046	0.74534
[141411 41931 2022/05/16-20:12:34] 129	0.45154	0.74476
[141411 41931 2022/05/16-20:15:18] 130	0.45115	0.74546
[141411 41931 2022/05/16-20:18:02] 131	0.45135	0.74374
[141411 41931 2022/05/16-20:20:47] 132	0.45085	0.74696
[141411 41931 2022/05/16-20:23:31] 133	0.45146	0.74368
[141411 41931 2022/05/16-20:26:17] 134	0.45020	0.74880
[141411 41931 2022/05/16-20:29:01] 135	0.45080	0.74372
[141411 41931 2022/05/16-20:31:46] 136	0.45074	0.74528
[141411 41931 2022/05/16-20:34:31] 137	0.45082	0.74466
[141411 41931 2022/05/16-20:37:16] 138	0.45072	0.74442
[141411 41931 2022/05/16-20:40:00] 139	0.45094	0.74712
[141411 41931 2022/05/16-20:42:45] 140	0.44984	0.74766
[141411 41931 2022/05/16-20:45:29] 141	0.45035	0.74840
[141411 41931 2022/05/16-20:48:14] 142	0.45080	0.74764
[141411 41931 2022/05/16-20:50:58] 143	0.45072	0.74662
[141411 41931 2022/05/16-20:53:42] 144	0.45080	0.74582
[141411 41931 2022/05/16-20:56:28] 145	0.44978	0.74802
[141411 41931 2022/05/16-20:59:12] 146	0.45061	0.74704
[141411 41931 2022/05/16-21:01:58] 147	0.45167	0.74540
[141411 41931 2022/05/16-21:04:42] 148	0.44953	0.74774
[141411 41931 2022/05/16-21:07:30] 149	0.45125	0.74622
[141411 41931 2022/05/16-21:10:15] 150	0.44998	0.74694
[141411 41931 2022/05/16-21:13:00] 151	0.44964	0.74684
[141411 41931 2022/05/16-21:15:45] 152	0.45037	0.74826
[141411 41931 2022/05/16-21:18:31] 153	0.45056	0.74472
[141411 41931 2022/05/16-21:21:14] 154	0.45062	0.74506
[141411 41931 2022/05/16-21:24:02] 155	0.45029	0.74838
[141411 41931 2022/05/16-21:26:47] 156	0.45112	0.74474
[141411 41931 2022/05/16-21:29:32] 157	0.45086	0.74668
[141411 41931 2022/05/16-21:32:16] 158	0.45027	0.74966
[141411 41931 2022/05/16-21:35:00] 159	0.45123	0.74726
[141411 41931 2022/05/16-21:35:01] Namespace(CodeID='GitNotFound', alpha=0.1, batch_size=256, cache_ignore='', debug=False, distill_temp=30, epoch=160, experiments_dir=None, lr=0.1, mi=[60, 90, 120, 150], momentum=0.9, note='', path=None, project_name='vitl14_5', screen_print=False, tnet='ViT-L/14', weight_decay=0.0005)
